source,ea_id,rank,player_name,first_name,last_name,common_name,gender,nationality,team,league,position,position_label,overall,pac,sho,pas,dri,def,phy,height_cm,weight_kg,birthdate,skill_moves,weak_foot,preferred_foot_id
EA,220901,74,David Raya,David,Raya Martin,David Raya,Men's Football,Spain,Arsenal,Premier League,GK,Goalkeeper,87,86,84,87,87,62,85,183,75,9/15/1995 12:00:00 AM,1,3,1
EA,241651,75,Viktor Gyökeres,Viktor,Gyökeres,,Men's Football,Sweden,Arsenal,Premier League,ST,Striker,87,90,86,73,81,36,91,189,94,6/4/1998 12:00:00 AM,3,4,1
EA,224232,77,Nicolò Barella,Nicolò,Barella,,Men's Football,Italy,Lombardia FC,Serie A Enilive,CM,Center Midfielder,87,80,78,84,86,81,76,175,68,2/7/1997 12:00:00 AM,3,4,1
EA,232293,78,Victor Osimhen,Victor,Osimhen,,Men's Football,Nigeria,Galatasaray,Trendyol Süper Lig,ST,Striker,87,92,84,65,81,42,84,186,77,12/29/1998 12:00:00 AM,3,4,1
EA,252145,79,Nuno Mendes,Nuno Alexandre,Tavares Mendes,Nuno Mendes,Men's Football,Portugal,Paris SG,Ligue 1 McDonald's,LB,Left Back,86,95,65,76,82,80,77,180,70,6/19/2002 12:00:00 AM,3,4,2
EA,205452,81,Antonio Rüdiger,Antonio,Rüdiger,,Men's Football,Germany,Real Madrid,LALIGA EA SPORTS,CB,Center Back,86,79,55,72,70,84,86,190,85,3/3/1993 12:00:00 AM,2,3,1
EA,247827,83,Michael Olise,Michael,Olise,,Men's Football,France,FC Bayern München,Bundesliga,RM,Right Midfielder,86,78,80,84,87,50,66,184,73,12/12/2001 12:00:00 AM,4,2,2
EA,231281,85,Trent Alexander-Arnold,Trent,Alexander-Arnold,,Men's Football,England,Real Madrid,LALIGA EA SPORTS,RB,Right Back,86,76,72,89,80,80,74,180,69,10/7/1998 12:00:00 AM,3,4,1
EA,239818,86,Rúben Dias,Rúben Santos,Gato Alves Dias,Rúben Dias,Men's Football,Portugal,Manchester City,Premier League,CB,Center Back,86,59,39,69,69,86,84,187,82,5/14/1997 12:00:00 AM,2,4,1
EA,211110,87,Paulo Dybala,Paulo,Dybala,,Men's Football,Argentina,AS Roma,Serie A Enilive,CAM,Center Attacking Midfielder,86,80,85,84,87,41,64,177,75,11/15/1993 12:00:00 AM,5,3,2
EA,247851,88,Bruno Guimarães,Bruno,Guimarães Moura,Bruno Guimarães,Men's Football,Brazil,Newcastle Utd,Premier League,CM,Center Midfielder,86,66,75,84,84,79,81,182,74,11/16/1997 12:00:00 AM,3,2,1
EA,256196,90,Willian Pacho,Willian,Pacho,,Men's Football,Ecuador,Paris SG,Ligue 1 McDonald's,CB,Center Back,86,80,34,62,62,86,86,188,81,10/16/2001 12:00:00 AM,2,3,2
EA,237678,92,Ibrahima Konaté,Ibrahima,Konaté,,Men's Football,France,Liverpool,Premier League,CB,Center Back,86,77,34,63,69,86,85,194,95,5/25/1999 12:00:00 AM,3,3,1
EA,208128,93,Hakan Çalhanoğlu,Hakan,Çalhanoğlu,,Men's Football,Turkey,Lombardia FC,Serie A Enilive,CDM,Center Defensive Midfielder,86,71,81,87,82,81,73,178,69,2/8/1994 12:00:00 AM,4,5,1
EA,158023,95,Lionel Messi,Lionel,Messi,,Men's Football,Argentina,Inter Miami CF,MLS,RW,Right Wing,86,78,85,85,90,33,64,169,67,6/24/1987 12:00:00 AM,4,4,2
EA,241096,96,Sandro Tonali,Sandro,Tonali,,Men's Football,Italy,Newcastle Utd,Premier League,CDM,Center Defensive Midfielder,86,79,74,82,80,81,83,181,79,5/8/2000 12:00:00 AM,3,4,1
EA,256516,97,Nico Williams,Nicholas,Williams Arthuer,Nico Williams,Men's Football,Spain,Athletic Club,LALIGA EA SPORTS,LM,Left Midfielder,86,93,76,80,87,36,66,181,67,7/12/2002 12:00:00 AM,4,5,1
EA,240638,100,Tijjani Reijnders,Tijjani,Reijnders,,Men's Football,Holland,Manchester City,Premier League,CM,Center Midfielder,86,79,79,82,85,77,77,185,73,7/29/1998 12:00:00 AM,4,4,1
EA,192448,101,Marc-André ter Stegen,Marc-André,ter Stegen,,Men's Football,Germany,FC Barcelona,LALIGA EA SPORTS,GK,Goalkeeper,86,84,84,89,85,47,84,187,85,4/30/1992 12:00:00 AM,1,4,1
EA,235073,103,Gregor Kobel,Gregor,Kobel,,Men's Football,Switzerland,Borussia Dortmund,Bundesliga,GK,Goalkeeper,86,87,83,64,87,44,86,195,88,12/6/1997 12:00:00 AM,1,3,1
EA,210257,104,Ederson,Ederson,Santana de Moraes,Ederson,Men's Football,Brazil,Fenerbahçe,Trendyol Süper Lig,GK,Goalkeeper,85,83,82,91,83,64,83,188,86,8/17/1993 12:00:00 AM,1,3,2
EA,226268,107,Federico Dimarco,Federico,Dimarco,,Men's Football,Italy,Lombardia FC,Serie A Enilive,LB,Left Back,85,80,78,84,82,79,77,175,76,11/10/1997 12:00:00 AM,3,4,2
EA,237238,108,Scott McTominay,Scott,McTominay,,Men's Football,Scotland,SSC Napoli,Serie A Enilive,CM,Center Midfielder,85,76,82,77,80,80,85,193,88,12/8/1996 12:00:00 AM,3,3,1
EA,246104,109,Ryan Gravenberch,Ryan,Gravenberch,,Men's Football,Holland,Liverpool,Premier League,CDM,Center Defensive Midfielder,85,76,76,81,85,81,81,190,77,5/16/2002 12:00:00 AM,4,4,1
EA,202811,113,Emiliano Martínez,Emiliano,Martínez,,Men's Football,Argentina,Aston Villa,Premier League,GK,Goalkeeper,85,83,82,82,85,56,85,195,88,9/2/1992 12:00:00 AM,1,4,1
EA,272834,116,João Neves,João Pedro,Gonçalves Neves,João Neves,Men's Football,Portugal,Paris SG,Ligue 1 McDonald's,CM,Center Midfielder,85,74,69,80,84,82,83,174,66,9/27/2004 12:00:00 AM,3,4,1
EA,194765,117,Antoine Griezmann,Antoine,Griezmann,,Men's Football,France,Atlético de Madrid,LALIGA EA SPORTS,ST,Striker,85,77,86,85,88,59,73,176,67,3/21/1991 12:00:00 AM,4,3,2
EA,243014,121,Bryan Mbeumo,Bryan,Mbeumo,,Men's Football,Cameroon,Man Utd,Premier League,RW,Right Wing,85,88,84,79,84,49,76,171,75,8/7/1999 12:00:00 AM,4,2,2
EA,215914,122,N'Golo Kanté,N'Golo,Kanté,,Men's Football,France,Al Ittihad,ROSHN Saudi League,CDM,Center Defensive Midfielder,85,77,65,73,80,85,79,168,70,3/29/1991 12:00:00 AM,2,3,1
EA,271421,123,Désiré Doué,Désiré,Doué,,Men's Football,France,Paris SG,Ligue 1 McDonald's,RW,Right Wing,85,83,80,77,90,55,74,181,79,6/3/2005 12:00:00 AM,5,4,1
EA,204963,124,Carvajal,Daniel,Carvajal Ramos,Carvajal,Men's Football,Spain,Real Madrid,LALIGA EA SPORTS,RB,Right Back,85,80,58,79,81,81,79,173,73,1/11/1992 12:00:00 AM,3,3,1
EA,230869,125,Unai Simón,Unai,Simón Mendibil,Unai Simón,Men's Football,Spain,Athletic Club,LALIGA EA SPORTS,GK,Goalkeeper,85,84,80,76,85,49,84,190,89,6/11/1997 12:00:00 AM,1,3,1
EA,228093,127,Marcus Thuram,Marcus,Thuram,,Men's Football,France,Lombardia FC,Serie A Enilive,ST,Striker,85,86,83,76,82,50,80,192,80,8/6/1997 12:00:00 AM,3,4,1
EA,185122,129,Péter Gulácsi,Péter,Gulácsi,,Men's Football,Hungary,RB Leipzig,Bundesliga,GK,Goalkeeper,85,83,83,74,84,43,87,193,86,5/6/1990 12:00:00 AM,1,2,1
EA,241084,132,Luis Díaz,Luis,Díaz,,Men's Football,Colombia,FC Bayern München,Bundesliga,LM,Left Midfielder,85,88,81,76,87,45,75,180,73,1/13/1997 12:00:00 AM,4,4,1
EA,193080,133,De Gea,David,De Gea Quintana,De Gea,Men's Football,Spain,Fiorentina,Serie A Enilive,GK,Goalkeeper,85,85,78,71,87,46,84,192,76,11/7/1990 12:00:00 AM,1,2,1
EA,247819,134,Nico Schlotterbeck,Nico,Schlotterbeck,,Men's Football,Germany,Borussia Dortmund,Bundesliga,CB,Center Back,85,74,60,75,73,85,82,191,86,12/1/1999 12:00:00 AM,2,2,2
EA,200104,136,Heung Min Son,Heung Min,Son,,Men's Football,Korea Republic,LAFC,MLS,LW,Left Wing,85,84,84,81,83,42,73,183,78,7/8/1992 12:00:00 AM,4,5,1
EA,237692,137,Phil Foden,Phil,Foden,,Men's Football,England,Manchester City,Premier League,RW,Right Wing,85,81,81,82,89,57,57,171,70,5/28/2000 12:00:00 AM,4,3,2
EA,226271,138,Fabián Ruiz,Fabián,Ruiz Peña,Fabián Ruiz,Men's Football,Spain,Paris SG,Ligue 1 McDonald's,CM,Center Midfielder,85,61,77,80,81,75,72,189,70,4/3/1996 12:00:00 AM,3,3,2
EA,216393,139,Youri Tielemans,Youri,Tielemans,,Men's Football,Belgium,Aston Villa,Premier League,CM,Center Midfielder,85,54,79,85,80,75,72,176,72,5/7/1997 12:00:00 AM,4,4,1
EA,199503,144,Granit Xhaka,Granit,Xhaka,,Men's Football,Switzerland,Sunderland,Premier League,CDM,Center Defensive Midfielder,85,47,75,85,74,78,82,186,80,9/27/1992 12:00:00 AM,3,3,2
EA,165153,146,Karim Benzema,Karim,Benzema,,Men's Football,France,Al Ittihad,ROSHN Saudi League,ST,Striker,85,75,84,81,83,38,77,185,81,12/19/1987 12:00:00 AM,4,4,1
EA,204525,150,Iñigo Martínez,Iñigo,Martínez Berridi,Iñigo Martínez,Men's Football,Spain,Al Nassr,ROSHN Saudi League,CB,Center Back,85,71,57,72,68,85,80,182,76,5/17/1991 12:00:00 AM,2,3,2
EA,20801,151,Cristiano Ronaldo,C. Ronaldo,dos Santos Aveiro,Cristiano Ronaldo,Men's Football,Portugal,Al Nassr,ROSHN Saudi League,ST,Striker,85,76,88,76,80,34,76,187,85,2/5/1985 12:00:00 AM,5,4,1
EA,243812,152,Rodrygo,Rodrygo,Silva de Goes,Rodrygo,Men's Football,Brazil,Real Madrid,LALIGA EA SPORTS,RW,Right Wing,85,88,80,79,87,31,64,174,64,1/9/2001 12:00:00 AM,4,4,1
EA,244260,153,Dani Olmo,Daniel,Olmo Carvajal,Dani Olmo,Men's Football,Spain,FC Barcelona,LALIGA EA SPORTS,CAM,Center Attacking Midfielder,85,73,79,83,87,50,56,179,72,5/7/1998 12:00:00 AM,4,4,1
EA,229558,154,Dayot Upamecano,Dayot,Upamecano,,Men's Football,France,FC Bayern München,Bundesliga,CB,Center Back,85,77,45,64,73,84,84,186,90,10/27/1998 12:00:00 AM,3,3,1
EA,234236,156,Patrik Schick,Patrik,Schick,,Men's Football,Czech Republic,Leverkusen,Bundesliga,ST,Striker,85,72,83,71,81,38,77,191,87,1/24/1996 12:00:00 AM,3,3,2
EA,239580,157,Bremer,Gleison Bremer,Silva Nascimento,Bremer,Men's Football,Brazil,Juventus,Serie A Enilive,CB,Center Back,85,82,50,58,66,86,80,187,84,3/18/1997 12:00:00 AM,2,2,1
EA,232656,161,Theo Hernández,Theo,Hernández,,Men's Football,France,Al Hilal,ROSHN Saudi League,LB,Left Back,84,90,76,78,83,79,83,184,81,10/6/1997 12:00:00 AM,4,3,2
EA,226161,162,Marcos Llorente,Marcos,Llorente Moreno,Marcos Llorente,Men's Football,Spain,Atlético de Madrid,LALIGA EA SPORTS,RB,Right Back,84,89,79,78,81,78,82,184,74,1/30/1995 12:00:00 AM,3,4,1
EA,212616,164,Rodrigo De Paul,Rodrigo,De Paul,,Men's Football,Argentina,Inter Miami CF,MLS,CM,Center Midfielder,84,75,78,83,83,76,83,180,70,5/24/1994 12:00:00 AM,4,3,1
EA,210514,165,João Cancelo,João Pedro,Cavaco Cancelo,João Cancelo,Men's Football,Portugal,Al Hilal,ROSHN Saudi League,RB,Right Back,84,83,73,84,84,78,74,182,74,5/27/1994 12:00:00 AM,4,4,1
EA,244675,166,Sancet,Oihan,Sancet Tirapu,Sancet,Men's Football,Spain,Athletic Club,LALIGA EA SPORTS,CAM,Center Attacking Midfielder,84,76,83,80,85,70,82,188,77,4/25/2000 12:00:00 AM,4,4,1
EA,234396,170,Alphonso Davies,Alphonso,Davies,,Men's Football,Canada,FC Bayern München,Bundesliga,LB,Left Back,84,94,66,78,85,74,76,185,77,11/2/2000 12:00:00 AM,4,3,2
EA,204935,173,Jordan Pickford,Jordan,Pickford,,Men's Football,England,Everton,Premier League,GK,Goalkeeper,84,84,78,88,87,53,81,185,77,3/7/1994 12:00:00 AM,1,4,2
EA,233096,174,Denzel Dumfries,Denzel,Dumfries,,Men's Football,Holland,Lombardia FC,Serie A Enilive,RB,Right Back,84,84,70,75,79,79,84,188,80,4/18/1996 12:00:00 AM,2,3,1
EA,223848,175,Sergej Milinković-Savić,Sergej,Milinković-Savić,,Men's Football,Serbia,Al Hilal,ROSHN Saudi League,CM,Center Midfielder,84,62,80,81,81,78,88,192,95,2/27/1995 12:00:00 AM,4,5,1
EA,251517,177,Joško Gvardiol,Joško,Gvardiol,,Men's Football,Croatia,Manchester City,Premier League,LB,Left Back,84,78,71,75,78,84,82,185,80,1/23/2002 12:00:00 AM,3,5,2
EA,241637,182,Aurélien Tchouaméni,Aurélien,Tchouaméni,,Men's Football,France,Real Madrid,LALIGA EA SPORTS,CDM,Center Defensive Midfielder,84,71,69,79,78,81,82,187,81,1/27/2000 12:00:00 AM,3,3,1
EA,239231,185,Marc Cucurella,Marc,Cucurella Saseta,Marc Cucurella,Men's Football,Spain,Chelsea,Premier League,LB,Left Back,84,75,64,79,80,82,79,174,66,7/22/1998 12:00:00 AM,3,3,2
EA,210035,190,Grimaldo,Alejandro,Grimaldo García,Grimaldo,Men's Football,Spain,Leverkusen,Bundesliga,LM,Left Midfielder,84,72,73,87,85,74,67,171,68,9/20/1995 12:00:00 AM,4,2,2
EA,226851,191,Benjamin Pavard,Benjamin,Pavard,,Men's Football,France,OM,Ligue 1 McDonald's,CB,Center Back,84,75,67,76,75,86,79,186,81,3/28/1996 12:00:00 AM,3,3,1
EA,247090,193,Enzo Fernández,Enzo,Fernández,,Men's Football,Argentina,Chelsea,Premier League,CM,Center Midfielder,84,68,75,85,81,73,75,178,76,1/17/2001 12:00:00 AM,3,4,1
EA,186153,194,Wojciech Szczęsny,Wojciech,Szczęsny,,Men's Football,Poland,FC Barcelona,LALIGA EA SPORTS,GK,Goalkeeper,84,82,83,75,84,48,84,196,90,4/18/1990 12:00:00 AM,1,3,1
EA,257279,196,Álex Baena,Alejandro,Baena Rodríguez,Álex Baena,Men's Football,Spain,Atlético de Madrid,LALIGA EA SPORTS,LM,Left Midfielder,84,79,76,84,82,65,68,175,70,7/20/2001 12:00:00 AM,3,4,1
EA,220502,197,Mattia Zaccagni,Mattia,Zaccagni,,Men's Football,Italy,Latium,Serie A Enilive,LM,Left Midfielder,84,88,78,77,87,57,66,177,63,6/16/1995 12:00:00 AM,4,4,1
EA,262621,198,Giorgi Mamardashvili,Giorgi,Mamardashvili,,Men's Football,Georgia,Liverpool,Premier League,GK,Goalkeeper,84,84,81,72,84,48,84,199,88,9/29/2000 12:00:00 AM,1,3,2
EA,231521,199,Exequiel Palacios,Exequiel,Palacios,,Men's Football,Argentina,Leverkusen,Bundesliga,CM,Center Midfielder,84,62,76,80,82,81,71,178,69,10/5/1998 12:00:00 AM,3,4,1
EA,245367,201,Xavi Simons,Xavi,Simons,,Men's Football,Holland,Spurs,Premier League,CAM,Center Attacking Midfielder,84,77,77,80,87,61,70,179,58,4/21/2003 12:00:00 AM,4,3,1
EA,167495,203,Manuel Neuer,Manuel,Neuer,,Men's Football,Germany,FC Bayern München,Bundesliga,GK,Goalkeeper,84,81,81,90,81,31,86,193,93,3/27/1986 12:00:00 AM,1,4,1
EA,224293,206,Rúben Neves,Rúben Diogo,da Silva Neves,Rúben Neves,Men's Football,Portugal,Al Hilal,ROSHN Saudi League,CDM,Center Defensive Midfielder,84,57,75,87,77,77,76,180,83,3/13/1997 12:00:00 AM,3,4,1
EA,242516,207,Cody Gakpo,Cody,Gakpo,,Men's Football,Holland,Liverpool,Premier League,LM,Left Midfielder,84,83,82,80,83,47,74,189,76,5/7/1999 12:00:00 AM,4,4,1
EA,218667,208,Bernardo Silva,Bernardo Mota,Carvalho e Silva,Bernardo Silva,Men's Football,Portugal,Manchester City,Premier League,CM,Center Midfielder,84,61,78,83,89,71,65,173,65,8/10/1994 12:00:00 AM,4,3,2
EA,222077,209,Manuel Locatelli,Manuel,Locatelli,,Men's Football,Italy,Juventus,Serie A Enilive,CDM,Center Defensive Midfielder,84,63,69,80,76,81,78,185,75,1/8/1998 12:00:00 AM,3,4,1
EA,227796,210,Christian Pulisic,Christian,Pulisic,,Men's Football,United States,Milano FC,Serie A Enilive,RW,Right Wing,84,88,82,80,86,46,65,178,73,9/18/1998 12:00:00 AM,4,5,1
EA,234577,211,Diogo Costa,Diogo,Meireles Costa,Diogo Costa,Men's Football,Portugal,FC Porto,Liga Portugal,GK,Goalkeeper,84,83,78,82,86,35,83,187,84,9/19/1999 12:00:00 AM,1,2,1
EA,221697,213,Ollie Watkins,Ollie,Watkins,,Men's Football,England,Aston Villa,Premier League,ST,Striker,84,77,83,73,80,50,80,180,70,12/30/1995 12:00:00 AM,3,4,1
EA,220697,214,James Maddison,James,Maddison,,Men's Football,England,Spurs,Premier League,CM,Center Midfielder,84,67,81,86,85,58,64,175,73,11/23/1996 12:00:00 AM,4,4,1
EA,252154,215,Marco Carnesecchi,Marco,Carnesecchi,,Men's Football,Italy,Bergamo Calcio,Serie A Enilive,GK,Goalkeeper,84,86,83,71,86,30,85,191,83,7/1/2000 12:00:00 AM,1,3,1
EA,256675,216,Omar Marmoush,Omar,Marmoush,,Men's Football,Egypt,Manchester City,Premier League,ST,Striker,84,89,85,76,86,34,71,183,81,2/7/1999 12:00:00 AM,4,3,1
